trip,price,tripTime,tripTimeUnc,walkTimeStart,walkTimeEnd,taxiWaitTime,busWaitTime,tripTimeRange,numLegs,respID,qID,altID,obsID
Uber/Lyft|Bus,25,50,0.1,0,10,10,5,45 - 55 minutes,2,4,3,1,21
Car|Bus|Uber/Lyft,20,40,0.05,10,10,10,5,38 - 42 minutes,3,4,3,2,21
Uber/Lyft|Bus|Bus,20,40,0.2,0,0,10,5,32 - 48 minutes,3,4,3,3,21
Uber/Lyft|Bus|Uber/Lyft,15,30,0.05,0,0,5,5,28 - 32 minutes,3,4,4,1,22
Car|Bus|Uber/Lyft,20,50,0.2,0,10,10,0,40 - 60 minutes,3,4,4,2,22
Car|Bus|Taxi,30,50,0.05,0,10,10,0,48 - 52 minutes,3,4,4,3,22
Taxi|Bus|Taxi,15,40,0.1,5,0,0,5,36 - 44 minutes,3,4,5,1,23
Car,25,30,0.1,0,0,0,10,27 - 33 minutes,1,4,5,2,23
Uber/Lyft,15,30,0.1,0,0,10,5,27 - 33 minutes,1,4,5,3,23
Car|Bus,25,60,0.05,5,0,0,5,57 - 63 minutes,2,4,6,1,24
Uber/Lyft|Bus|Bus,15,60,0.05,0,10,10,10,57 - 63 minutes,3,4,6,2,24
Car|Bus,15,30,0.05,0,10,0,10,28 - 32 minutes,2,4,6,3,24
Car|Bus|Taxi,30,30,0.05,5,10,5,0,28 - 32 minutes,3,5,1,1,25
Taxi|Bus|Taxi,30,30,0.05,0,0,5,0,28 - 32 minutes,3,5,1,2,25
Uber/Lyft|Bus|Bus,30,50,0.1,5,0,5,0,45 - 55 minutes,3,5,1,3,25
Car,30,70,0.2,0,0,0,0,56 - 84 minutes,1,5,2,1,26
Uber/Lyft,20,70,0.2,0,0,10,0,56 - 84 minutes,1,5,2,2,26
Uber/Lyft|Bus|Bus,10,30,0.05,5,10,5,10,28 - 32 minutes,3,5,2,3,26
Uber/Lyft|Bus|Uber/Lyft,15,70,0.05,0,5,5,5,66 - 74 minutes,3,5,3,1,27
Car,15,30,0.2,0,0,0,0,24 - 36 minutes,1,5,3,2,27
Car,10,40,0.1,0,0,0,10,36 - 44 minutes,1,5,3,3,27
Taxi|Bus,25,50,0.2,0,5,5,10,40 - 60 minutes,2,5,4,1,28
Car,20,40,0.1,0,0,0,0,36 - 44 minutes,1,5,4,2,28
Car|Bus,25,60,0.2,10,0,0,0,48 - 72 minutes,2,5,4,3,28
Car|Bus|Taxi,20,70,0.05,5,5,0,0,66 - 74 minutes,3,5,5,1,29
Car|Bus|Bus,20,60,0.1,10,5,0,5,54 - 66 minutes,3,5,5,2,29
Uber/Lyft|Bus,15,30,0.2,10,0,0,10,24 - 36 minutes,2,5,5,3,29
Car|Bus|Uber/Lyft,20,70,0.2,5,0,5,0,56 - 84 minutes,3,5,6,1,30
Car,10,70,0.2,0,0,0,10,56 - 84 minutes,1,5,6,2,30
Car|Bus,20,70,0.05,0,10,0,5,66 - 74 minutes,2,5,6,3,30
Taxi|Bus,30,50,0.1,0,0,0,5,45 - 55 minutes,2,6,1,1,31
Taxi|Bus|Bus,10,70,0.05,10,0,0,10,66 - 74 minutes,3,6,1,2,31
Car|Bus|Uber/Lyft,15,50,0.2,5,10,10,10,40 - 60 minutes,3,6,1,3,31
Uber/Lyft,15,30,0.1,0,0,10,0,27 - 33 minutes,1,6,2,1,32
Car|Bus,15,50,0.05,0,0,0,5,48 - 52 minutes,2,6,2,2,32
Car|Bus|Taxi,30,40,0.1,5,10,10,5,36 - 44 minutes,3,6,2,3,32
Car|Bus,20,50,0.05,10,10,0,0,48 - 52 minutes,2,6,3,1,33
Uber/Lyft|Bus,30,30,0.2,10,0,5,5,24 - 36 minutes,2,6,3,2,33
Car|Bus,15,30,0.1,5,10,0,10,27 - 33 minutes,2,6,3,3,33
Car|Bus|Uber/Lyft,15,40,0.05,10,10,0,10,38 - 42 minutes,3,6,4,1,34
Taxi|Bus,25,40,0.05,0,5,0,10,38 - 42 minutes,2,6,4,2,34
Taxi,10,40,0.2,0,0,5,10,32 - 48 minutes,1,6,4,3,34
Car,15,30,0.05,0,0,0,10,28 - 32 minutes,1,6,5,1,35
Uber/Lyft|Bus,10,70,0.1,10,5,0,0,63 - 77 minutes,2,6,5,2,35
Car|Bus|Bus,30,30,0.1,5,5,0,0,27 - 33 minutes,3,6,5,3,35
Taxi,15,40,0.05,0,0,0,5,38 - 42 minutes,1,6,6,1,36
Taxi|Bus,20,30,0.1,0,10,10,0,27 - 33 minutes,2,6,6,2,36
Taxi|Bus,10,50,0.05,5,0,5,5,48 - 52 minutes,2,6,6,3,36
Bus,15,40,0.05,0,5,0,0,38 - 42 minutes,1,7,1,1,37
Uber/Lyft|Bus|Uber/Lyft,30,60,0.05,10,0,10,10,57 - 63 minutes,3,7,1,2,37
Car|Bus|Taxi,15,40,0.2,5,0,0,0,32 - 48 minutes,3,7,1,3,37
Bus|Bus|Taxi,15,30,0.1,10,0,10,0,27 - 33 minutes,3,7,2,1,38
Car,25,60,0.2,0,0,0,0,48 - 72 minutes,1,7,2,2,38
Taxi|Bus,30,50,0.2,5,5,0,5,40 - 60 minutes,2,7,2,3,38
Uber/Lyft|Bus|Bus,20,50,0.1,0,0,10,10,45 - 55 minutes,3,7,3,1,39
Uber/Lyft|Bus,20,30,0.05,0,10,10,0,28 - 32 minutes,2,7,3,2,39
Taxi,20,70,0.2,0,0,10,0,56 - 84 minutes,1,7,3,3,39
Car|Bus|Taxi,30,60,0.1,10,5,5,5,54 - 66 minutes,3,7,4,1,40
Uber/Lyft,20,70,0.05,0,0,0,0,66 - 74 minutes,1,7,4,2,40
Uber/Lyft,15,30,0.2,0,0,0,5,24 - 36 minutes,1,7,4,3,40
Car,30,70,0.2,0,0,0,0,56 - 84 minutes,1,7,5,1,41
Car|Bus|Taxi,30,50,0.2,0,5,10,5,40 - 60 minutes,3,7,5,2,41
Car|Bus,10,40,0.1,0,0,0,0,36 - 44 minutes,2,7,5,3,41
Uber/Lyft,30,30,0.2,0,0,10,0,24 - 36 minutes,1,7,6,1,42
Car,15,50,0.1,0,0,0,0,45 - 55 minutes,1,7,6,2,42
Bus|Bus|Uber/Lyft,15,50,0.05,0,10,5,0,48 - 52 minutes,3,7,6,3,42
Car,25,50,0.1,0,0,0,5,45 - 55 minutes,1,8,1,1,43
Uber/Lyft|Bus,30,40,0.1,0,10,10,5,36 - 44 minutes,2,8,1,2,43
Uber/Lyft|Bus|Uber/Lyft,10,50,0.05,5,5,10,5,48 - 52 minutes,3,8,1,3,43
Taxi,30,70,0.1,0,0,0,5,63 - 77 minutes,1,8,2,1,44
Bus|Bus|Taxi,20,70,0.2,0,10,0,10,56 - 84 minutes,3,8,2,2,44
Car|Bus|Uber/Lyft,25,50,0.2,10,0,5,0,40 - 60 minutes,3,8,2,3,44
Bus|Bus|Taxi,25,70,0.05,0,5,0,10,66 - 74 minutes,3,8,3,1,45
Bus,15,50,0.1,0,5,0,5,45 - 55 minutes,1,8,3,2,45
Car|Bus|Uber/Lyft,15,50,0.05,5,10,10,10,48 - 52 minutes,3,8,3,3,45
Car|Bus,25,40,0.1,0,0,0,10,36 - 44 minutes,2,8,4,1,46
Car|Bus|Taxi,15,40,0.05,5,10,10,10,38 - 42 minutes,3,8,4,2,46
Car|Bus|Taxi,30,30,0.1,5,5,10,10,27 - 33 minutes,3,8,4,3,46
Car|Bus|Uber/Lyft,10,60,0.2,10,0,5,10,48 - 72 minutes,3,8,5,1,47
Uber/Lyft|Bus|Bus,30,60,0.2,5,10,5,5,48 - 72 minutes,3,8,5,2,47
Bus|Bus|Uber/Lyft,30,60,0.1,5,0,10,10,54 - 66 minutes,3,8,5,3,47
Bus,15,60,0.2,0,5,0,10,48 - 72 minutes,1,8,6,1,48
Uber/Lyft,30,70,0.2,0,0,10,0,56 - 84 minutes,1,8,6,2,48
Uber/Lyft,10,70,0.05,0,0,10,10,66 - 74 minutes,1,8,6,3,48
Car,20,40,0.1,0,0,0,5,36 - 44 minutes,1,9,1,1,49
Uber/Lyft|Bus,25,30,0.05,10,10,5,0,28 - 32 minutes,2,9,1,2,49
Car|Bus,30,40,0.05,10,5,0,10,38 - 42 minutes,2,9,1,3,49
Taxi,30,50,0.2,0,0,10,5,40 - 60 minutes,1,9,2,1,50
Taxi,10,70,0.2,0,0,10,10,56 - 84 minutes,1,9,2,2,50
Taxi|Bus|Bus,25,30,0.05,5,0,0,5,28 - 32 minutes,3,9,2,3,50
Taxi|Bus,20,70,0.1,0,5,5,0,63 - 77 minutes,2,9,3,1,51
Taxi|Bus|Taxi,15,70,0.2,0,10,5,10,56 - 84 minutes,3,9,3,2,51
Bus|Bus|Uber/Lyft,25,40,0.1,10,5,5,5,36 - 44 minutes,3,9,3,3,51
Car|Bus,30,70,0.2,10,5,0,0,56 - 84 minutes,2,9,4,1,52
Car,15,50,0.2,0,0,0,0,40 - 60 minutes,1,9,4,2,52
Uber/Lyft|Bus,30,60,0.1,0,5,5,10,54 - 66 minutes,2,9,4,3,52
Car|Bus|Uber/Lyft,20,30,0.1,10,5,0,5,27 - 33 minutes,3,9,5,1,53
Car,15,70,0.05,0,0,0,10,66 - 74 minutes,1,9,5,2,53
Car,25,50,0.1,0,0,0,0,45 - 55 minutes,1,9,5,3,53
Taxi|Bus,30,50,0.2,10,0,10,0,40 - 60 minutes,2,9,6,1,54
Bus|Bus|Taxi,20,40,0.2,5,0,5,10,32 - 48 minutes,3,9,6,2,54
Uber/Lyft|Bus,30,50,0.05,0,10,5,10,48 - 52 minutes,2,9,6,3,54
Taxi|Bus,30,70,0.05,0,5,0,5,66 - 74 minutes,2,10,1,1,55
Uber/Lyft|Bus,10,70,0.05,0,10,10,0,66 - 74 minutes,2,10,1,2,55
Car,20,70,0.05,0,0,0,0,66 - 74 minutes,1,10,1,3,55
Car|Bus|Taxi,20,30,0.05,0,10,5,10,28 - 32 minutes,3,10,2,1,56
Car|Bus,25,40,0.1,5,5,0,5,36 - 44 minutes,2,10,2,2,56
Uber/Lyft|Bus,20,40,0.05,0,5,10,10,38 - 42 minutes,2,10,2,3,56
Taxi,10,50,0.1,0,0,5,0,45 - 55 minutes,1,10,3,1,57
Uber/Lyft|Bus|Uber/Lyft,10,30,0.2,10,5,0,0,24 - 36 minutes,3,10,3,2,57
Uber/Lyft|Bus,30,60,0.05,10,0,10,10,57 - 63 minutes,2,10,3,3,57
Bus,25,50,0.1,10,10,0,10,45 - 55 minutes,1,10,4,1,58
Car|Bus,30,30,0.1,0,5,0,10,27 - 33 minutes,2,10,4,2,58
Uber/Lyft|Bus,20,40,0.05,10,10,10,5,38 - 42 minutes,2,10,4,3,58
Car|Bus,25,60,0.2,0,5,0,10,48 - 72 minutes,2,10,5,1,59
Car|Bus,20,50,0.2,5,5,0,10,40 - 60 minutes,2,10,5,2,59
Car|Bus,15,40,0.2,0,5,0,5,32 - 48 minutes,2,10,5,3,59
Taxi,10,50,0.05,0,0,0,0,48 - 52 minutes,1,10,6,1,60
Bus|Bus,30,40,0.05,10,0,0,5,38 - 42 minutes,2,10,6,2,60
Car|Bus,30,50,0.2,5,5,0,5,40 - 60 minutes,2,10,6,3,60
Uber/Lyft|Bus|Bus,10,50,0.1,10,5,0,0,45 - 55 minutes,3,11,1,1,61
Taxi|Bus|Bus,15,50,0.2,5,5,0,10,40 - 60 minutes,3,11,1,2,61
Bus,20,60,0.1,5,10,0,10,54 - 66 minutes,1,11,1,3,61
Car|Bus|Taxi,20,50,0.05,0,0,5,5,48 - 52 minutes,3,11,2,1,62
Uber/Lyft|Bus,20,40,0.1,0,5,10,5,36 - 44 minutes,2,11,2,2,62
Uber/Lyft,25,50,0.1,0,0,0,10,45 - 55 minutes,1,11,2,3,62
Bus,20,70,0.05,0,0,0,0,66 - 74 minutes,1,11,3,1,63
Bus|Bus,25,30,0.05,10,5,0,0,28 - 32 minutes,2,11,3,2,63
Car,25,60,0.2,0,0,0,0,48 - 72 minutes,1,11,3,3,63
Bus,30,30,0.05,10,5,0,5,28 - 32 minutes,1,11,4,1,64
Car|Bus|Taxi,20,30,0.1,0,10,5,0,27 - 33 minutes,3,11,4,2,64
Uber/Lyft|Bus,15,70,0.05,10,10,5,0,66 - 74 minutes,2,11,4,3,64
Car,25,60,0.1,0,0,0,5,54 - 66 minutes,1,11,5,1,65
Car|Bus|Taxi,15,60,0.1,5,10,0,5,54 - 66 minutes,3,11,5,2,65
Car|Bus|Uber/Lyft,15,70,0.05,10,5,0,5,66 - 74 minutes,3,11,5,3,65
Car|Bus,10,30,0.05,5,10,0,0,28 - 32 minutes,2,11,6,1,66
Bus,20,60,0.2,0,5,0,0,48 - 72 minutes,1,11,6,2,66
Bus,30,50,0.05,5,5,0,10,48 - 52 minutes,1,11,6,3,66
Taxi,25,60,0.2,0,0,5,10,48 - 72 minutes,1,12,1,1,67
Car|Bus|Taxi,30,30,0.1,5,0,5,10,27 - 33 minutes,3,12,1,2,67
Bus,25,70,0.2,5,0,0,10,56 - 84 minutes,1,12,1,3,67
Bus|Bus|Uber/Lyft,15,40,0.05,5,10,10,5,38 - 42 minutes,3,12,2,1,68
Bus,30,70,0.05,5,10,0,5,66 - 74 minutes,1,12,2,2,68
Taxi|Bus,10,50,0.05,5,0,10,0,48 - 52 minutes,2,12,2,3,68
Car|Bus,30,50,0.1,0,5,0,0,45 - 55 minutes,2,12,3,1,69
Car|Bus|Taxi,25,70,0.2,0,5,0,0,56 - 84 minutes,3,12,3,2,69
Taxi,20,70,0.05,0,0,10,0,66 - 74 minutes,1,12,3,3,69
Car|Bus,15,40,0.1,0,10,0,0,36 - 44 minutes,2,12,4,1,70
Taxi|Bus,10,60,0.2,10,0,10,0,48 - 72 minutes,2,12,4,2,70
Car|Bus,25,70,0.1,5,10,0,5,63 - 77 minutes,2,12,4,3,70
Car|Bus|Uber/Lyft,30,30,0.2,5,0,10,5,24 - 36 minutes,3,12,5,1,71
Car|Bus|Taxi,20,30,0.05,0,0,0,10,28 - 32 minutes,3,12,5,2,71
Uber/Lyft,25,40,0.2,0,0,5,0,32 - 48 minutes,1,12,5,3,71
Bus,15,30,0.2,0,5,0,10,24 - 36 minutes,1,12,6,1,72
Uber/Lyft,20,50,0.2,0,0,0,0,40 - 60 minutes,1,12,6,2,72
Taxi|Bus,10,60,0.05,10,0,0,10,57 - 63 minutes,2,12,6,3,72
Bus,25,40,0.2,5,5,0,5,32 - 48 minutes,1,13,1,1,73
Car,15,30,0.2,0,0,0,0,24 - 36 minutes,1,13,1,2,73
Car|Bus,10,60,0.2,0,10,0,0,48 - 72 minutes,2,13,1,3,73
Car|Bus,25,50,0.2,5,5,0,0,40 - 60 minutes,2,13,2,1,74
Uber/Lyft|Bus|Bus,30,50,0.1,0,5,5,5,45 - 55 minutes,3,13,2,2,74
Uber/Lyft,20,30,0.1,0,0,0,5,27 - 33 minutes,1,13,2,3,74
Bus,20,60,0.2,10,10,0,10,48 - 72 minutes,1,13,3,1,75
Car|Bus|Taxi,25,40,0.1,0,5,5,0,36 - 44 minutes,3,13,3,2,75
Car|Bus,20,50,0.1,10,5,0,0,45 - 55 minutes,2,13,3,3,75
Uber/Lyft|Bus,20,30,0.1,0,10,5,10,27 - 33 minutes,2,13,4,1,76
Taxi|Bus,30,50,0.05,10,5,10,0,48 - 52 minutes,2,13,4,2,76
Car,15,40,0.1,0,0,0,0,36 - 44 minutes,1,13,4,3,76
Car|Bus|Uber/Lyft,10,70,0.05,5,10,10,0,66 - 74 minutes,3,13,5,1,77
Bus|Bus|Taxi,30,30,0.05,5,5,0,10,28 - 32 minutes,3,13,5,2,77
Bus,15,70,0.05,10,0,0,10,66 - 74 minutes,1,13,5,3,77
Car,30,70,0.2,0,0,0,5,56 - 84 minutes,1,13,6,1,78
Taxi|Bus,10,50,0.2,5,5,10,5,40 - 60 minutes,2,13,6,2,78
Taxi|Bus|Taxi,25,50,0.05,10,5,0,5,48 - 52 minutes,3,13,6,3,78
Bus|Bus|Bus,10,60,0.2,5,10,0,10,48 - 72 minutes,3,14,1,1,79
Taxi|Bus,30,60,0.2,0,5,5,0,48 - 72 minutes,2,14,1,2,79
Car,20,60,0.05,0,0,0,10,57 - 63 minutes,1,14,1,3,79
Car|Bus,25,30,0.2,5,5,0,5,24 - 36 minutes,2,14,2,1,80
Uber/Lyft|Bus,25,70,0.2,5,0,0,10,56 - 84 minutes,2,14,2,2,80
Uber/Lyft|Bus,15,50,0.05,10,0,10,10,48 - 52 minutes,2,14,2,3,80
Uber/Lyft|Bus,20,70,0.05,10,5,5,10,66 - 74 minutes,2,14,3,1,81
Taxi|Bus,10,60,0.1,5,5,0,0,54 - 66 minutes,2,14,3,2,81
Car,25,60,0.05,0,0,0,10,57 - 63 minutes,1,14,3,3,81
Taxi|Bus,10,70,0.05,0,0,10,10,66 - 74 minutes,2,14,4,1,82
Car|Bus|Taxi,10,60,0.05,0,0,0,0,57 - 63 minutes,3,14,4,2,82
Uber/Lyft,15,30,0.2,0,0,5,0,24 - 36 minutes,1,14,4,3,82
Car|Bus,30,50,0.05,10,5,0,10,48 - 52 minutes,2,14,5,1,83
Bus|Bus|Uber/Lyft,10,40,0.05,5,5,5,0,38 - 42 minutes,3,14,5,2,83
Car|Bus,10,70,0.1,5,10,0,10,63 - 77 minutes,2,14,5,3,83
Uber/Lyft|Bus,30,70,0.05,5,10,0,5,66 - 74 minutes,2,14,6,1,84
Taxi|Bus,25,50,0.05,5,0,10,5,48 - 52 minutes,2,14,6,2,84
Car|Bus,30,50,0.05,10,5,0,10,48 - 52 minutes,2,14,6,3,84
Bus|Bus|Uber/Lyft,20,30,0.1,5,5,10,0,27 - 33 minutes,3,15,1,1,85
Car|Bus,30,30,0.2,0,5,0,10,24 - 36 minutes,2,15,1,2,85
Uber/Lyft|Bus,15,40,0.1,10,0,5,5,36 - 44 minutes,2,15,1,3,85
Car|Bus|Taxi,25,50,0.2,5,5,10,0,40 - 60 minutes,3,15,2,1,86
Uber/Lyft|Bus,15,50,0.2,0,10,0,5,40 - 60 minutes,2,15,2,2,86
Uber/Lyft|Bus,15,60,0.2,0,5,5,5,48 - 72 minutes,2,15,2,3,86
Uber/Lyft|Bus|Uber/Lyft,30,60,0.1,10,0,10,0,54 - 66 minutes,3,15,3,1,87
Car,25,50,0.2,0,0,0,10,40 - 60 minutes,1,15,3,2,87
Taxi,20,50,0.2,0,0,0,5,40 - 60 minutes,1,15,3,3,87
Bus,10,50,0.2,5,5,0,0,40 - 60 minutes,1,15,4,1,88
Uber/Lyft|Bus,10,40,0.1,5,5,10,0,36 - 44 minutes,2,15,4,2,88
Uber/Lyft|Bus,15,60,0.1,0,0,5,10,54 - 66 minutes,2,15,4,3,88
Bus|Bus|Uber/Lyft,25,60,0.1,0,5,5,0,54 - 66 minutes,3,15,5,1,89
Car,10,60,0.05,0,0,0,0,57 - 63 minutes,1,15,5,2,89
Car|Bus|Uber/Lyft,25,30,0.05,5,5,10,0,28 - 32 minutes,3,15,5,3,89
Taxi|Bus|Bus,15,30,0.2,10,0,5,0,24 - 36 minutes,3,15,6,1,90
Bus,10,30,0.05,5,10,0,10,28 - 32 minutes,1,15,6,2,90
Car|Bus|Taxi,10,30,0.1,5,5,0,5,27 - 33 minutes,3,15,6,3,90
Bus,25,50,0.1,0,10,0,5,45 - 55 minutes,1,16,1,1,91
Uber/Lyft|Bus,20,40,0.05,10,10,10,0,38 - 42 minutes,2,16,1,2,91
Bus,15,30,0.1,0,0,0,0,27 - 33 minutes,1,16,1,3,91
Bus,15,30,0.2,10,10,0,5,24 - 36 minutes,1,16,2,1,92
Bus,25,60,0.1,5,10,0,10,54 - 66 minutes,1,16,2,2,92
Uber/Lyft|Bus,20,40,0.05,5,5,0,5,38 - 42 minutes,2,16,2,3,92
Uber/Lyft|Bus,20,30,0.2,0,0,5,5,24 - 36 minutes,2,16,3,1,93
Car|Bus|Uber/Lyft,15,40,0.1,5,5,10,5,36 - 44 minutes,3,16,3,2,93
Taxi,30,40,0.1,0,0,5,5,36 - 44 minutes,1,16,3,3,93
Car|Bus|Uber/Lyft,30,60,0.05,10,0,0,5,57 - 63 minutes,3,16,4,1,94
Car|Bus|Taxi,15,40,0.1,0,0,10,0,36 - 44 minutes,3,16,4,2,94
Car|Bus|Bus,15,70,0.05,10,10,0,10,66 - 74 minutes,3,16,4,3,94
Car|Bus|Bus,30,40,0.05,10,0,0,10,38 - 42 minutes,3,16,5,1,95
Car,20,50,0.05,0,0,0,5,48 - 52 minutes,1,16,5,2,95
Taxi|Bus,10,60,0.05,0,5,10,5,57 - 63 minutes,2,16,5,3,95
Taxi,15,30,0.1,0,0,0,5,27 - 33 minutes,1,16,6,1,96
Bus|Bus|Uber/Lyft,30,40,0.1,0,5,5,5,36 - 44 minutes,3,16,6,2,96
Car|Bus,30,60,0.2,5,5,0,5,48 - 72 minutes,2,16,6,3,96
Uber/Lyft|Bus|Uber/Lyft,20,40,0.05,10,5,0,0,38 - 42 minutes,3,17,1,1,97
Bus|Bus,15,40,0.2,5,10,0,5,32 - 48 minutes,2,17,1,2,97
Car|Bus|Uber/Lyft,10,50,0.2,5,5,0,0,40 - 60 minutes,3,17,1,3,97
Car|Bus,10,60,0.2,5,0,0,10,48 - 72 minutes,2,17,2,1,98
Car|Bus,30,70,0.2,0,10,0,10,56 - 84 minutes,2,17,2,2,98
Car|Bus,30,30,0.2,10,10,0,5,24 - 36 minutes,2,17,2,3,98
Car|Bus|Bus,20,50,0.1,0,10,0,5,45 - 55 minutes,3,17,3,1,99
Car|Bus|Taxi,30,40,0.2,10,5,10,5,32 - 48 minutes,3,17,3,2,99
Taxi,15,60,0.2,0,0,10,0,48 - 72 minutes,1,17,3,3,99
Car,25,70,0.1,0,0,0,10,63 - 77 minutes,1,17,4,1,100
Uber/Lyft|Bus,20,50,0.1,5,10,0,5,45 - 55 minutes,2,17,4,2,100
Uber/Lyft|Bus,10,70,0.2,5,0,0,10,56 - 84 minutes,2,17,4,3,100
Taxi,25,70,0.2,0,0,10,5,56 - 84 minutes,1,17,5,1,101
Car|Bus|Uber/Lyft,30,70,0.1,0,5,10,10,63 - 77 minutes,3,17,5,2,101
