trip,price,tripTime,tripTimeUnc,walkTimeStart,walkTimeEnd,taxiWaitTime,busWaitTime,tripTimeRange,respID,qID,altID,obsID
Car,25,60,0.1,0,0,10,5,54 - 66 minutes,6,3,3,33
Bus | Bus | Bus,25,50,0.05,10,5,5,10,48 - 52 minutes,6,4,1,34
Bus,10,40,0.1,10,0,5,5,36 - 44 minutes,6,4,2,34
Car | Bus | Taxi,10,70,0.2,0,0,5,5,56 - 84 minutes,6,4,3,34
Car | Bus | Taxi,25,30,0.1,10,5,10,10,27 - 33 minutes,6,5,1,35
Taxi | Bus | Taxi,20,70,0.1,0,10,5,10,63 - 77 minutes,6,5,2,35
Bus | Bus | Taxi,20,50,0.1,5,10,5,10,45 - 55 minutes,6,5,3,35
Taxi | Bus | Taxi,20,60,0.05,10,10,10,10,57 - 63 minutes,6,6,1,36
Uber/Lyft | Bus,30,60,0.2,0,10,5,10,48 - 72 minutes,6,6,2,36
Uber/Lyft | Bus | Taxi,30,40,0.05,5,5,5,10,38 - 42 minutes,6,6,3,36
Uber/Lyft,20,50,0.05,5,5,10,5,48 - 52 minutes,7,1,1,37
Car,20,40,0.1,5,0,5,5,36 - 44 minutes,7,1,2,37
Bus | Bus,30,60,0.1,10,5,5,5,54 - 66 minutes,7,1,3,37
Bus | Bus | Uber/Lyft,20,50,0.05,0,10,10,10,48 - 52 minutes,7,2,1,38
Taxi | Bus | Taxi,10,40,0.2,5,10,10,10,32 - 48 minutes,7,2,2,38
Car,15,30,0.1,10,0,10,5,27 - 33 minutes,7,2,3,38
Taxi | Bus | Bus,20,30,0.2,5,0,5,10,24 - 36 minutes,7,3,1,39
Taxi | Bus,20,30,0.1,0,5,5,5,27 - 33 minutes,7,3,2,39
Uber/Lyft | Bus | Taxi,10,40,0.2,0,0,5,5,32 - 48 minutes,7,3,3,39
Bus,15,60,0.05,10,5,5,5,57 - 63 minutes,7,4,1,40
Car | Bus | Bus,20,50,0.05,10,0,10,5,48 - 52 minutes,7,4,2,40
Taxi | Bus | Taxi,10,50,0.2,5,5,10,5,40 - 60 minutes,7,4,3,40
Car | Bus,20,40,0.1,5,5,5,10,36 - 44 minutes,7,5,1,41
Uber/Lyft | Bus | Uber/Lyft,25,50,0.05,10,10,10,10,48 - 52 minutes,7,5,2,41
Bus | Bus,25,50,0.05,0,10,5,5,48 - 52 minutes,7,5,3,41
Car | Bus | Bus,30,40,0.2,0,0,5,5,32 - 48 minutes,7,6,1,42
Taxi | Bus | Bus,10,60,0.2,10,0,10,5,48 - 72 minutes,7,6,2,42
Car | Bus | Taxi,10,50,0.1,0,0,10,10,45 - 55 minutes,7,6,3,42
Bus | Bus | Bus,30,30,0.05,5,10,10,5,28 - 32 minutes,8,1,1,43
Taxi | Bus | Uber/Lyft,20,70,0.1,10,5,5,10,63 - 77 minutes,8,1,2,43
Car | Bus | Bus,25,70,0.05,5,5,10,5,66 - 74 minutes,8,1,3,43
Bus | Bus | Taxi,25,70,0.05,0,10,10,10,66 - 74 minutes,8,2,1,44
Car | Bus | Uber/Lyft,15,70,0.05,0,10,5,10,66 - 74 minutes,8,2,2,44
Taxi,20,40,0.1,10,0,10,5,36 - 44 minutes,8,2,3,44
Uber/Lyft | Bus | Taxi,15,60,0.1,5,10,10,5,54 - 66 minutes,8,3,1,45
Uber/Lyft | Bus | Bus,20,60,0.05,0,10,10,5,57 - 63 minutes,8,3,2,45
Uber/Lyft | Bus | Bus,15,60,0.05,0,5,10,10,57 - 63 minutes,8,3,3,45
Taxi,30,30,0.2,0,0,10,5,24 - 36 minutes,8,4,1,46
Taxi | Bus,20,70,0.05,10,0,10,5,66 - 74 minutes,8,4,2,46
Car | Bus | Uber/Lyft,25,40,0.05,0,5,5,10,38 - 42 minutes,8,4,3,46
Uber/Lyft | Bus | Bus,25,70,0.1,10,0,5,10,63 - 77 minutes,8,5,1,47
Uber/Lyft | Bus | Bus,20,70,0.2,10,10,10,5,56 - 84 minutes,8,5,2,47
Car | Bus | Taxi,25,70,0.2,5,0,5,10,56 - 84 minutes,8,5,3,47
Taxi | Bus | Bus,15,50,0.2,5,0,10,5,40 - 60 minutes,8,6,1,48
Uber/Lyft | Bus | Bus,20,40,0.2,0,10,5,10,32 - 48 minutes,8,6,2,48
Bus | Bus | Taxi,10,40,0.05,5,10,5,10,38 - 42 minutes,8,6,3,48
Uber/Lyft | Bus,25,30,0.1,0,10,5,5,27 - 33 minutes,9,1,1,49
Uber/Lyft | Bus | Taxi,10,30,0.1,0,5,10,5,27 - 33 minutes,9,1,2,49
Car | Bus | Taxi,15,60,0.1,10,0,10,10,54 - 66 minutes,9,1,3,49
Uber/Lyft,10,50,0.2,0,10,5,10,40 - 60 minutes,9,2,1,50
Uber/Lyft,30,60,0.05,10,0,5,5,57 - 63 minutes,9,2,2,50
Uber/Lyft | Bus | Taxi,10,30,0.1,0,0,5,5,27 - 33 minutes,9,2,3,50
Taxi,25,40,0.2,0,5,5,5,32 - 48 minutes,9,3,1,51
Taxi | Bus,30,40,0.1,0,5,5,5,36 - 44 minutes,9,3,2,51
Car | Bus,20,30,0.2,0,0,10,5,24 - 36 minutes,9,3,3,51
Car | Bus | Taxi,20,30,0.2,5,0,5,10,24 - 36 minutes,9,4,1,52
Car | Bus,20,30,0.05,10,0,10,5,28 - 32 minutes,9,4,2,52
Bus | Bus | Taxi,30,40,0.05,5,5,5,10,38 - 42 minutes,9,4,3,52
Car,15,60,0.05,5,10,10,10,57 - 63 minutes,9,5,1,53
Taxi | Bus | Bus,10,60,0.2,10,10,5,5,48 - 72 minutes,9,5,2,53
Taxi | Bus,15,40,0.05,5,0,5,10,38 - 42 minutes,9,5,3,53
Taxi | Bus | Bus,15,70,0.1,0,0,5,5,63 - 77 minutes,9,6,1,54
Taxi | Bus | Taxi,15,70,0.05,5,0,5,5,66 - 74 minutes,9,6,2,54
Uber/Lyft | Bus | Taxi,20,60,0.1,0,0,5,10,54 - 66 minutes,9,6,3,54
Uber/Lyft | Bus | Taxi,15,70,0.2,5,0,10,10,56 - 84 minutes,10,1,1,55
Car | Bus,25,60,0.05,5,10,10,10,57 - 63 minutes,10,1,2,55
Bus,25,40,0.2,0,5,10,10,32 - 48 minutes,10,1,3,55
Taxi | Bus | Uber/Lyft,25,70,0.2,5,0,5,10,56 - 84 minutes,10,2,1,56
Bus,10,40,0.2,10,5,10,10,32 - 48 minutes,10,2,2,56
Bus | Bus | Taxi,15,30,0.2,0,10,5,5,24 - 36 minutes,10,2,3,56
Car | Bus | Taxi,10,40,0.1,0,5,5,10,36 - 44 minutes,10,3,1,57
Car,10,70,0.2,5,0,5,10,56 - 84 minutes,10,3,2,57
Uber/Lyft | Bus | Bus,20,30,0.2,5,5,5,5,24 - 36 minutes,10,3,3,57
Car,15,60,0.05,10,10,10,5,57 - 63 minutes,10,4,1,58
Car,30,30,0.1,0,0,10,10,27 - 33 minutes,10,4,2,58
Taxi | Bus | Bus,15,50,0.05,5,5,10,5,48 - 52 minutes,10,4,3,58
Car | Bus | Uber/Lyft,10,70,0.05,10,10,10,10,66 - 74 minutes,10,5,1,59
Bus | Bus | Bus,30,50,0.05,0,10,10,5,48 - 52 minutes,10,5,2,59
Taxi | Bus | Taxi,15,30,0.1,0,5,10,5,27 - 33 minutes,10,5,3,59
Car | Bus | Taxi,30,70,0.2,10,5,5,10,56 - 84 minutes,10,6,1,60
Uber/Lyft | Bus | Taxi,20,70,0.05,5,10,5,5,66 - 74 minutes,10,6,2,60
Bus | Bus,25,30,0.1,0,10,10,10,27 - 33 minutes,10,6,3,60
Uber/Lyft | Bus | Uber/Lyft,15,60,0.05,0,5,10,5,57 - 63 minutes,11,1,1,61
Car | Bus | Uber/Lyft,20,40,0.05,0,5,10,5,38 - 42 minutes,11,1,2,61
Uber/Lyft | Bus | Bus,20,40,0.05,5,10,10,10,38 - 42 minutes,11,1,3,61
Car | Bus | Bus,25,50,0.05,5,0,5,10,48 - 52 minutes,11,2,1,62
Car,15,30,0.1,10,5,5,10,27 - 33 minutes,11,2,2,62
Uber/Lyft | Bus | Uber/Lyft,10,30,0.1,5,10,10,10,27 - 33 minutes,11,2,3,62
Car | Bus | Bus,20,40,0.2,0,10,5,10,32 - 48 minutes,11,3,1,63
Bus | Bus | Uber/Lyft,20,50,0.05,10,5,10,5,48 - 52 minutes,11,3,2,63
Taxi | Bus | Bus,10,30,0.1,5,10,5,5,27 - 33 minutes,11,3,3,63
Car | Bus,15,50,0.1,10,5,10,5,45 - 55 minutes,11,4,1,64
Car | Bus | Uber/Lyft,15,30,0.1,10,0,10,5,27 - 33 minutes,11,4,2,64
Uber/Lyft | Bus | Taxi,15,60,0.1,5,10,5,10,54 - 66 minutes,11,4,3,64
Uber/Lyft | Bus | Bus,20,40,0.05,5,5,5,5,38 - 42 minutes,11,5,1,65
Car | Bus | Uber/Lyft,10,40,0.05,10,0,5,10,38 - 42 minutes,11,5,2,65
Car | Bus,25,40,0.2,5,5,5,5,32 - 48 minutes,11,5,3,65
Bus,25,30,0.2,5,5,5,5,24 - 36 minutes,11,6,1,66
Uber/Lyft | Bus,10,60,0.05,0,5,10,10,57 - 63 minutes,11,6,2,66
Car | Bus | Uber/Lyft,25,30,0.2,10,5,5,5,24 - 36 minutes,11,6,3,66
Uber/Lyft | Bus,20,30,0.1,0,5,5,5,27 - 33 minutes,12,1,1,67
Uber/Lyft | Bus | Uber/Lyft,20,40,0.05,5,5,5,10,38 - 42 minutes,12,1,2,67
Uber/Lyft,15,40,0.1,5,10,10,10,36 - 44 minutes,12,1,3,67
Car | Bus,30,40,0.1,10,10,10,10,36 - 44 minutes,12,2,1,68
Uber/Lyft | Bus | Uber/Lyft,25,60,0.1,0,10,10,10,54 - 66 minutes,12,2,2,68
Taxi | Bus | Taxi,10,30,0.05,10,5,10,5,28 - 32 minutes,12,2,3,68
Bus | Bus,25,50,0.2,10,5,5,10,40 - 60 minutes,12,3,1,69
Uber/Lyft | Bus,20,30,0.05,5,5,5,5,28 - 32 minutes,12,3,2,69
Taxi | Bus | Taxi,10,30,0.1,0,0,5,10,27 - 33 minutes,12,3,3,69
Car | Bus | Uber/Lyft,15,60,0.1,10,0,10,5,54 - 66 minutes,12,4,1,70
Taxi | Bus | Taxi,10,70,0.2,5,0,10,10,56 - 84 minutes,12,4,2,70
Uber/Lyft,10,40,0.05,0,10,5,5,38 - 42 minutes,12,4,3,70
Taxi | Bus | Uber/Lyft,25,70,0.05,5,5,5,10,66 - 74 minutes,12,5,1,71
Taxi | Bus | Uber/Lyft,30,60,0.1,0,5,10,5,54 - 66 minutes,12,5,2,71
Car | Bus | Uber/Lyft,15,30,0.2,10,0,10,5,24 - 36 minutes,12,5,3,71
Taxi | Bus | Bus,15,60,0.2,5,10,5,5,48 - 72 minutes,12,6,1,72
Uber/Lyft | Bus | Bus,15,60,0.1,0,0,10,10,54 - 66 minutes,12,6,2,72
Uber/Lyft | Bus | Bus,20,70,0.1,0,0,10,10,63 - 77 minutes,12,6,3,72
Taxi | Bus | Taxi,25,40,0.05,10,5,10,5,38 - 42 minutes,13,1,1,73
Taxi | Bus | Uber/Lyft,20,40,0.1,5,0,5,10,36 - 44 minutes,13,1,2,73
Taxi | Bus | Uber/Lyft,30,70,0.05,10,0,10,5,66 - 74 minutes,13,1,3,73
Taxi | Bus | Uber/Lyft,20,60,0.2,0,0,10,10,48 - 72 minutes,13,2,1,74
Car | Bus,20,50,0.05,5,0,10,5,48 - 52 minutes,13,2,2,74
Uber/Lyft | Bus | Uber/Lyft,10,50,0.2,10,0,5,5,40 - 60 minutes,13,2,3,74
Bus,25,60,0.1,0,10,10,10,54 - 66 minutes,13,3,1,75
Bus | Bus | Bus,30,60,0.2,10,0,10,10,48 - 72 minutes,13,3,2,75
Uber/Lyft | Bus,10,50,0.05,0,5,10,5,48 - 52 minutes,13,3,3,75
Bus | Bus | Bus,10,50,0.2,5,10,5,5,40 - 60 minutes,13,4,1,76
Taxi,30,30,0.05,0,0,10,5,28 - 32 minutes,13,4,2,76
Uber/Lyft,25,40,0.05,0,0,10,5,38 - 42 minutes,13,4,3,76
Car | Bus | Uber/Lyft,20,30,0.1,0,5,10,5,27 - 33 minutes,13,5,1,77
Uber/Lyft | Bus | Uber/Lyft,10,70,0.1,10,10,5,5,63 - 77 minutes,13,5,2,77
Taxi | Bus | Bus,20,50,0.2,0,5,5,10,40 - 60 minutes,13,5,3,77
Car,20,50,0.2,0,5,10,10,40 - 60 minutes,13,6,1,78
Bus | Bus | Uber/Lyft,30,50,0.2,10,0,10,5,40 - 60 minutes,13,6,2,78
Car | Bus | Taxi,20,60,0.05,10,5,10,10,57 - 63 minutes,13,6,3,78
Car | Bus | Taxi,15,30,0.2,10,0,10,5,24 - 36 minutes,14,1,1,79
Taxi | Bus | Bus,20,40,0.2,0,10,5,5,32 - 48 minutes,14,1,2,79
Uber/Lyft | Bus,20,60,0.2,0,10,5,5,48 - 72 minutes,14,1,3,79
Taxi,25,50,0.1,5,0,5,10,45 - 55 minutes,14,2,1,80
Taxi,25,60,0.05,0,0,10,10,57 - 63 minutes,14,2,2,80
Car | Bus | Bus,20,50,0.1,10,5,10,10,45 - 55 minutes,14,2,3,80
Bus | Bus,10,50,0.2,5,10,10,10,40 - 60 minutes,14,3,1,81
Taxi | Bus | Bus,20,70,0.2,10,10,10,10,56 - 84 minutes,14,3,2,81
Car | Bus | Uber/Lyft,20,40,0.2,10,5,5,5,32 - 48 minutes,14,3,3,81
Taxi | Bus | Bus,30,40,0.05,10,10,5,5,38 - 42 minutes,14,4,1,82
Taxi | Bus,15,60,0.05,0,0,10,10,57 - 63 minutes,14,4,2,82
Taxi,30,40,0.05,0,10,10,5,38 - 42 minutes,14,4,3,82
Uber/Lyft | Bus | Bus,30,30,0.05,0,5,10,10,28 - 32 minutes,14,5,1,83
Bus,25,50,0.05,5,5,10,10,48 - 52 minutes,14,5,2,83
Car | Bus | Bus,30,50,0.05,0,0,5,5,48 - 52 minutes,14,5,3,83
Bus | Bus | Bus,30,70,0.2,10,0,10,5,56 - 84 minutes,14,6,1,84
Car | Bus | Taxi,20,30,0.1,0,5,5,10,27 - 33 minutes,14,6,2,84
Taxi,25,60,0.2,10,10,10,5,48 - 72 minutes,14,6,3,84
Uber/Lyft | Bus | Bus,15,40,0.1,10,10,5,10,36 - 44 minutes,15,1,1,85
Car | Bus,30,60,0.05,5,5,5,10,57 - 63 minutes,15,1,2,85
Car | Bus | Uber/Lyft,10,50,0.2,5,0,5,10,40 - 60 minutes,15,1,3,85
Bus | Bus | Bus,30,60,0.05,10,10,10,10,57 - 63 minutes,15,2,1,86
Uber/Lyft,20,70,0.1,5,10,5,5,63 - 77 minutes,15,2,2,86
Car | Bus | Bus,10,70,0.2,5,5,5,5,56 - 84 minutes,15,2,3,86
Bus | Bus | Bus,15,50,0.2,0,0,10,5,40 - 60 minutes,15,3,1,87
Uber/Lyft | Bus,20,40,0.1,10,10,5,10,36 - 44 minutes,15,3,2,87
Bus | Bus | Bus,20,40,0.1,10,5,5,5,36 - 44 minutes,15,3,3,87
Uber/Lyft | Bus | Uber/Lyft,25,50,0.1,0,0,10,5,45 - 55 minutes,15,4,1,88
Car,30,30,0.1,10,5,5,10,27 - 33 minutes,15,4,2,88
Uber/Lyft,15,70,0.1,5,5,5,5,63 - 77 minutes,15,4,3,88
Taxi,20,70,0.2,0,5,5,10,56 - 84 minutes,15,5,1,89
Taxi | Bus,30,70,0.2,0,10,5,5,56 - 84 minutes,15,5,2,89
Bus,15,50,0.2,10,5,5,5,40 - 60 minutes,15,5,3,89
Uber/Lyft | Bus | Bus,20,60,0.1,0,0,10,10,54 - 66 minutes,15,6,1,90
Taxi | Bus | Bus,25,40,0.2,10,0,5,10,32 - 48 minutes,15,6,2,90
Uber/Lyft | Bus | Uber/Lyft,25,30,0.1,0,0,5,10,27 - 33 minutes,15,6,3,90
Taxi | Bus | Taxi,15,40,0.05,10,5,10,10,38 - 42 minutes,16,1,1,91
Uber/Lyft | Bus | Uber/Lyft,20,60,0.1,5,0,10,10,54 - 66 minutes,16,1,2,91
Bus,10,50,0.05,10,10,10,5,48 - 52 minutes,16,1,3,91
Uber/Lyft | Bus,15,50,0.2,5,0,10,5,40 - 60 minutes,16,2,1,92
Taxi | Bus | Uber/Lyft,15,60,0.1,10,0,10,5,54 - 66 minutes,16,2,2,92
Bus | Bus | Bus,15,30,0.05,10,10,5,10,28 - 32 minutes,16,2,3,92
Bus,15,60,0.05,5,10,5,10,57 - 63 minutes,16,3,1,93
Uber/Lyft,10,50,0.1,10,10,10,10,45 - 55 minutes,16,3,2,93
Car | Bus | Uber/Lyft,25,50,0.05,0,5,5,5,48 - 52 minutes,16,3,3,93
Car | Bus | Uber/Lyft,25,60,0.05,0,5,10,5,57 - 63 minutes,16,4,1,94
Car | Bus | Taxi,10,40,0.05,0,5,10,10,38 - 42 minutes,16,4,2,94
Uber/Lyft | Bus | Taxi,15,60,0.05,0,0,10,10,57 - 63 minutes,16,4,3,94
Uber/Lyft | Bus | Uber/Lyft,10,70,0.1,10,5,10,10,63 - 77 minutes,16,5,1,95
Taxi,25,70,0.1,5,5,5,5,63 - 77 minutes,16,5,2,95
Uber/Lyft,20,40,0.05,10,10,10,10,38 - 42 minutes,16,5,3,95
Bus | Bus | Bus,25,50,0.2,0,5,10,10,40 - 60 minutes,16,6,1,96
Bus | Bus,25,50,0.05,10,5,5,5,48 - 52 minutes,16,6,2,96
Uber/Lyft | Bus | Bus,30,30,0.05,5,5,5,10,28 - 32 minutes,16,6,3,96
Car | Bus | Bus,20,60,0.1,5,5,5,5,54 - 66 minutes,17,1,1,97
Bus,10,30,0.05,0,5,10,5,28 - 32 minutes,17,1,2,97
Car,25,70,0.2,10,10,5,10,56 - 84 minutes,17,1,3,97
Taxi | Bus | Bus,25,40,0.2,10,10,5,5,32 - 48 minutes,17,2,1,98
Uber/Lyft | Bus | Bus,15,50,0.1,10,10,10,5,45 - 55 minutes,17,2,2,98
Bus | Bus | Uber/Lyft,20,30,0.05,5,0,5,5,28 - 32 minutes,17,2,3,98
Car | Bus | Taxi,25,60,0.05,0,5,5,5,57 - 63 minutes,17,3,1,99
Bus | Bus,10,30,0.05,0,0,5,10,28 - 32 minutes,17,3,2,99
Bus | Bus | Taxi,15,40,0.05,5,10,5,10,38 - 42 minutes,17,3,3,99
Taxi,15,60,0.1,10,0,5,10,54 - 66 minutes,17,4,1,100
Car | Bus | Bus,30,40,0.2,5,5,5,5,32 - 48 minutes,17,4,2,100
Car | Bus,20,30,0.05,0,0,5,10,28 - 32 minutes,17,4,3,100
