leg1Mode,leg2Mode,leg3Mode,price,expressFee,leg1Time,leg2Time,leg3Time,transfer1Time,transfer2Time,transfer3Time,tripTimeUnc,numLegs,lastLegMode,trip,carInTrip,expressInTrip,walkInTrip,busInTrip,taxiInTrip,uberInTrip,priceOrig,totalLegTime,totalWaitTime,totalTripTime,tripTimeMax,tripTimeRange,rowID,respID,qID,altID,obsID
Bus,Walk,Taxi,25,0,10,10,20,10,0,5,0.1,3,Taxi,Bus|Walk|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,25,40,15,55,61,55 - 61 minutes,34768,1,5,3,5
Bus,Bus,None,10,0,30,20,0,2,10,0,0.1,2,Bus,Bus|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10,50,12,62,69,62 - 69 minutes,30813,1,6,1,6
Car,None,None,40,15,25,0,0,0,0,0,0.2,1,Car,Car,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,25,25,0,25,30,25 - 30 minutes,40137,1,6,2,6
Bus,Walk,Taxi,20,0,25,10,10,10,0,10,0.2,3,Taxi,Bus|Walk|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,20,45,20,65,78,65 - 78 minutes,57198,1,6,3,6
Taxi,Bus,Walk,15,0,25,20,10,5,10,0,0.2,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,15,55,15,70,84,70 - 84 minutes,51555,2,1,1,7
Walk,Bus,Walk,5,0,15,15,15,0,10,0,0.2,3,Walk,Walk|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,45,10,55,66,55 - 66 minutes,50720,2,1,2,7
Bus,Walk,Taxi,15,0,10,10,20,2,0,5,0.1,3,Taxi,Bus|Walk|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,15,40,7,47,52,47 - 52 minutes,33643,2,1,3,7
"Car:
Express",Walk,None,15,5,15,15,0,0,0,0,0.05,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10,30,0,30,32,30 - 32 minutes,1389,2,2,1,8
Bus,Walk,Uber/Lyft,20,0,15,10,15,2,0,10,0.2,3,Uber/Lyft,Bus|Walk|Uber/Lyft,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,20,40,12,52,63,52 - 63 minutes,56155,2,2,2,8
Car,None,None,15,10,15,0,0,0,0,0,0.2,1,Car,Car,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,5,15,0,15,18,15 - 18 minutes,39663,2,2,3,8
Bus,Walk,Taxi,20,0,30,15,20,5,0,5,0.1,3,Taxi,Bus|Walk|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,20,65,10,75,83,75 - 83 minutes,34385,2,3,1,9
Bus,Walk,Uber/Lyft,25,0,15,15,10,5,0,5,0.1,3,Uber/Lyft,Bus|Walk|Uber/Lyft,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,25,40,10,50,56,50 - 56 minutes,33988,2,3,2,9
Uber/Lyft,None,None,10,0,10,0,0,5,0,0,0.1,1,Uber/Lyft,Uber/Lyft,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,10,10,5,15,17,15 - 17 minutes,22915,2,3,3,9
Uber/Lyft,Bus,Walk,25,0,10,20,10,5,2,0,0.05,3,Walk,Uber/Lyft|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,25,40,7,47,50,47 - 50 minutes,4002,2,4,1,10
"Car:
Express",None,None,30,15,25,0,0,0,0,0,0.1,1,"Car:
Express","Car:
Express",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,15,25,0,25,28,25 - 28 minutes,20479,2,4,2,10
"Car:
Express",Walk,None,7,5,30,10,0,0,0,0,0.2,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,40,0,40,48,40 - 48 minutes,40157,2,4,3,10
Taxi,Bus,Walk,15,0,15,10,15,2,10,0,0.2,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,15,40,12,52,63,52 - 63 minutes,50620,2,5,1,11
Uber/Lyft,Bus,None,30,0,30,10,0,5,2,0,0.2,2,Bus,Uber/Lyft|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,30,40,7,47,57,47 - 57 minutes,42932,2,5,2,11
Bus,Bus,Walk,5,0,30,15,15,5,2,0,0.05,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,60,7,67,71,67 - 71 minutes,4432,2,5,3,11
Walk,Bus,Bus,10,0,10,20,20,0,10,5,0.1,3,Bus,Walk|Bus|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,10,50,15,65,72,65 - 72 minutes,35904,2,6,1,12
Car,None,None,30,10,20,0,0,0,0,0,0.05,1,Car,Car,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20,20,0,20,21,20 - 21 minutes,591,2,6,2,12
Taxi,Bus,Walk,30,0,30,20,15,2,5,0,0.2,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,30,65,7,72,87,72 - 87 minutes,47250,2,6,3,12
Taxi,Bus,None,10,0,10,10,0,5,2,0,0.1,2,Bus,Taxi|Bus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,10,20,7,27,30,27 - 30 minutes,22921,3,1,1,13
Walk,Bus,Walk,10,0,15,15,10,0,5,0,0.1,3,Walk,Walk|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,10,40,5,45,50,45 - 50 minutes,26429,3,1,2,13
Car,Bus,None,10,5,20,15,0,0,2,0,0.1,2,Bus,Car|Bus,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,5,35,2,37,41,37 - 41 minutes,21178,3,1,3,13
Bus,Walk,Uber/Lyft,25,0,25,10,10,10,0,2,0.05,3,Uber/Lyft,Bus|Walk|Uber/Lyft,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,25,45,12,57,60,57 - 60 minutes,5007,3,2,1,14
Car,None,None,15,5,20,0,0,0,0,0,0.2,1,Car,Car,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,20,0,20,24,20 - 24 minutes,39768,3,2,2,14
Uber/Lyft,Bus,None,25,0,15,15,0,2,5,0,0.2,2,Bus,Uber/Lyft|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,25,30,7,37,45,37 - 45 minutes,46099,3,2,3,14
Bus,Bus,Bus,10,0,30,15,10,2,5,2,0.2,3,Bus,Bus|Bus|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10,55,9,64,77,64 - 77 minutes,46324,3,3,1,15
Uber/Lyft,None,None,15,0,25,0,0,2,0,0,0.2,1,Uber/Lyft,Uber/Lyft,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,15,25,2,27,33,27 - 33 minutes,39993,3,3,2,15
Car,Bus,None,12,10,30,10,0,0,5,0,0.05,2,Bus,Car|Bus,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,2,40,5,45,48,45 - 48 minutes,6581,3,3,3,15
Car,None,None,45,15,10,0,0,0,0,0,0.1,1,Car,Car,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,30,10,0,10,11,10 - 11 minutes,19865,3,4,1,16
Bus,Walk,Bus,10,0,10,10,20,5,0,5,0.05,3,Bus,Bus|Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,10,40,10,50,53,50 - 53 minutes,14590,3,4,2,16
Taxi,Bus,Walk,20,0,25,15,15,2,2,0,0.05,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,20,55,4,59,62,59 - 62 minutes,2853,3,4,3,16
Bus,Walk,Uber/Lyft,25,0,20,10,10,5,0,2,0.2,3,Uber/Lyft,Bus|Walk|Uber/Lyft,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,25,40,7,47,57,47 - 57 minutes,42768,3,5,1,17
"Car:
Express",None,None,10,5,25,0,0,0,0,0,0.2,1,"Car:
Express","Car:
Express",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,5,25,0,25,30,25 - 30 minutes,39959,3,5,2,17
Car,Walk,None,25,15,15,15,0,0,0,0,0.05,2,Walk,Car|Walk,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,10,30,0,30,32,30 - 32 minutes,1503,3,5,3,17
Walk,Bus,Walk,10,0,15,10,15,0,5,0,0.2,3,Walk,Walk|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,10,40,5,45,54,45 - 54 minutes,46962,3,6,1,18
Walk,Bus,None,2,0,15,10,0,0,10,0,0.05,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,25,10,35,37,35 - 37 minutes,9921,3,6,2,18
Bus,Walk,Taxi,15,0,25,10,10,2,0,2,0.1,3,Taxi,Bus|Walk|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,15,45,4,49,54,49 - 54 minutes,20361,3,6,3,18
Car,Bus,None,35,15,30,20,0,0,10,0,0.2,2,Bus,Car|Bus,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,20,50,10,60,72,60 - 72 minutes,50521,4,1,1,19
Bus,Walk,None,5,0,20,15,0,10,0,0,0.05,2,Walk,Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,35,10,45,48,45 - 48 minutes,5237,4,1,2,19
Walk,Bus,Uber/Lyft,30,0,15,20,10,0,5,5,0.1,3,Uber/Lyft,Walk|Bus|Uber/Lyft,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,30,45,10,55,61,55 - 61 minutes,35042,4,1,3,19
Taxi,Bus,Walk,10,0,30,10,10,10,5,0,0.2,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,10,50,15,65,78,65 - 78 minutes,48413,4,2,1,20
Bus,Walk,Bus,10,0,10,10,20,5,0,10,0.2,3,Bus,Bus|Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,10,40,15,55,66,55 - 66 minutes,56971,4,2,2,20
Walk,Bus,Uber/Lyft,25,0,10,10,20,0,10,2,0.2,3,Uber/Lyft,Walk|Bus|Uber/Lyft,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,25,40,12,52,63,52 - 63 minutes,50917,4,2,3,20
Taxi,Bus,Walk,20,0,15,20,15,10,10,0,0.2,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,20,50,20,70,84,70 - 84 minutes,52670,4,3,1,21
"Car:
Express",None,None,25,15,10,0,0,0,0,0,0.1,1,"Car:
Express","Car:
Express",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,10,10,0,10,11,10 - 11 minutes,19842,4,3,2,21
Bus,Bus,None,2,0,10,10,0,5,5,0,0.1,2,Bus,Bus|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,20,10,30,33,30 - 33 minutes,27727,4,3,3,21
Bus,Walk,Uber/Lyft,10,0,10,15,15,5,0,10,0.2,3,Uber/Lyft,Bus|Walk|Uber/Lyft,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,10,40,15,55,66,55 - 66 minutes,56873,4,4,1,22
Uber/Lyft,None,None,15,0,30,0,0,5,0,0,0.2,1,Uber/Lyft,Uber/Lyft,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,15,30,5,35,42,35 - 42 minutes,42892,4,4,2,22
Car,None,None,20,5,10,0,0,0,0,0,0.1,1,Car,Car,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15,10,0,10,11,10 - 11 minutes,19709,4,4,3,22
Car,Walk,None,25,15,40,15,0,0,0,0,0.1,2,Walk,Car|Walk,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,10,55,0,55,61,55 - 61 minutes,21681,4,5,1,23
Walk,Bus,None,10,0,15,20,0,0,10,0,0.2,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,10,35,10,45,54,45 - 54 minutes,50205,4,5,2,23
Bus,Bus,None,5,0,30,15,0,2,5,0,0.1,2,Bus,Bus|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,45,7,52,58,52 - 58 minutes,26665,4,5,3,23
Walk,Bus,Bus,2,0,10,15,10,0,2,5,0.1,3,Bus,Walk|Bus|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,35,7,42,47,42 - 47 minutes,33228,4,6,1,24
Uber/Lyft,Bus,None,15,0,30,10,0,2,10,0,0.1,2,Bus,Uber/Lyft|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,15,40,12,52,58,52 - 58 minutes,29852,4,6,2,24
Taxi,Walk,None,30,0,15,15,0,2,0,0,0.1,2,Walk,Taxi|Walk,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,30,30,2,32,36,32 - 36 minutes,21103,4,6,3,24
Taxi,Bus,Walk,10,0,10,10,10,10,10,0,0.2,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,10,30,20,50,60,50 - 60 minutes,51911,5,1,1,25
Uber/Lyft,Bus,Walk,10,0,25,20,10,10,5,0,0.1,3,Walk,Uber/Lyft|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,10,55,15,70,77,70 - 77 minutes,29116,5,1,2,25
Car,Walk,None,20,10,30,10,0,0,0,0,0.1,2,Walk,Car|Walk,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,10,40,0,40,44,40 - 44 minutes,20638,5,1,3,25
Bus,Walk,Uber/Lyft,15,0,30,10,20,5,0,5,0.1,3,Uber/Lyft,Bus|Walk|Uber/Lyft,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,15,60,10,70,77,70 - 77 minutes,34302,5,2,1,26
Taxi,Bus,Walk,25,0,20,15,10,2,10,0,0.1,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,25,45,12,57,63,57 - 63 minutes,30196,5,2,2,26
Car,Walk,None,30,15,20,15,0,0,0,0,0.05,2,Walk,Car|Walk,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,15,35,0,35,37,35 - 37 minutes,1656,5,2,3,26
Bus,Uber/Lyft,None,15,0,30,20,0,2,5,0,0.2,2,Uber/Lyft,Bus|Uber/Lyft,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,15,50,7,57,69,57 - 69 minutes,46813,5,3,1,27
Bus,Bus,None,2,0,10,20,0,2,10,0,0.05,2,Bus,Bus|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,30,12,42,45,42 - 45 minutes,10790,5,3,2,27
Walk,Bus,Walk,5,0,10,15,10,0,10,0,0.2,3,Walk,Walk|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,35,10,45,54,45 - 54 minutes,49614,5,3,3,27
Bus,Uber/Lyft,None,15,0,25,10,0,5,2,0,0.1,2,Uber/Lyft,Bus|Uber/Lyft,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,15,35,7,42,47,42 - 47 minutes,23169,5,4,1,28
Car,Walk,None,20,10,20,15,0,0,0,0,0.2,2,Walk,Car|Walk,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,10,35,0,35,42,35 - 42 minutes,40918,5,4,2,28
"Car:
Express",Walk,None,40,10,10,10,0,0,0,0,0.1,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,30,20,0,20,22,20 - 22 minutes,19828,5,4,3,28
Bus,Bus,Bus,5,0,25,10,10,2,2,5,0.05,3,Bus,Bus|Bus|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,5,45,9,54,57,54 - 57 minutes,13550,5,5,1,29
Walk,Bus,Bus,2,0,10,15,15,0,10,5,0.1,3,Bus,Walk|Bus|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,40,15,55,61,55 - 61 minutes,35734,5,5,2,29
Uber/Lyft,Bus,None,10,0,15,20,0,2,5,0,0.2,2,Bus,Uber/Lyft|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,10,35,7,42,51,42 - 51 minutes,46548,5,5,3,29
"Car:
Express",Walk,None,7,5,10,15,0,0,0,0,0.2,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,25,0,25,30,25 - 30 minutes,40485,5,6,1,30
"Car:
Express",Walk,None,30,10,40,15,0,0,0,0,0.1,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,20,55,0,55,61,55 - 61 minutes,21662,5,6,2,30
Car,None,None,20,10,30,0,0,0,0,0,0.05,1,Car,Car,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,30,0,30,32,30 - 32 minutes,987,5,6,3,30
"Car:
Express",None,None,35,15,25,0,0,0,0,0,0.1,1,"Car:
Express","Car:
Express",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,20,25,0,25,28,25 - 28 minutes,20485,6,1,1,31
Car,None,None,25,10,25,0,0,0,0,0,0.1,1,Car,Car,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15,25,0,25,28,25 - 28 minutes,20436,6,1,2,31
Uber/Lyft,None,None,30,0,20,0,0,5,0,0,0.05,1,Uber/Lyft,Uber/Lyft,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,30,20,5,25,27,25 - 27 minutes,3478,6,1,3,31
Car,None,None,25,10,30,0,0,0,0,0,0.05,1,Car,Car,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15,30,0,30,32,30 - 32 minutes,993,6,2,1,32
Car,None,None,20,10,15,0,0,0,0,0,0.1,1,Car,Car,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,15,0,15,17,15 - 17 minutes,20022,6,2,2,32
Taxi,Walk,None,30,0,20,15,0,10,0,0,0.1,2,Walk,Taxi|Walk,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,30,35,10,45,50,45 - 50 minutes,24938,6,2,3,32
Walk,Bus,Bus,5,0,15,20,10,0,5,2,0.1,3,Bus,Walk|Bus|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,5,45,7,52,58,52 - 58 minutes,26896,6,3,1,33
Bus,Walk,Uber/Lyft,20,0,20,10,15,10,0,10,0.2,3,Uber/Lyft,Bus|Walk|Uber/Lyft,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,20,45,20,65,78,65 - 78 minutes,57356,6,3,2,33
Bus,Walk,Uber/Lyft,20,0,10,10,15,5,0,10,0.05,3,Uber/Lyft,Bus|Walk|Uber/Lyft,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,20,35,15,50,53,50 - 53 minutes,17505,6,3,3,33
"Car:
Express",Walk,None,15,5,15,10,0,0,0,0,0.1,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10,25,0,25,28,25 - 28 minutes,19918,6,4,1,34
"Car:
Express",Walk,None,25,5,15,15,0,0,0,0,0.05,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,20,30,0,30,32,30 - 32 minutes,1426,6,4,2,34
"Car:
Express",Walk,None,25,15,10,10,0,0,0,0,0.1,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10,20,0,20,22,20 - 22 minutes,19846,6,4,3,34
Taxi,Bus,None,20,0,20,15,0,2,2,0,0.1,2,Bus,Taxi|Bus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,20,35,4,39,43,39 - 43 minutes,21222,6,5,1,35
Bus,Walk,Taxi,30,0,30,15,10,10,0,10,0.05,3,Taxi,Bus|Walk|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,30,55,20,75,79,75 - 79 minutes,18004,6,5,2,35
"Car:
Express",Walk,None,7,5,15,10,0,0,0,0,0.2,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2,25,0,25,30,25 - 30 minutes,39527,6,5,3,35
Car,None,None,30,5,20,0,0,0,0,0,0.2,1,Car,Car,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,25,20,0,20,24,20 - 24 minutes,39827,6,6,1,36
Uber/Lyft,None,None,15,0,10,0,0,10,0,0,0.1,1,Uber/Lyft,Uber/Lyft,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,15,10,10,20,22,20 - 22 minutes,24388,6,6,2,36
"Car:
Express",Walk,None,35,15,20,15,0,0,0,0,0.2,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,20,35,0,35,42,35 - 42 minutes,40955,6,6,3,36
Car,Walk,None,45,15,10,15,0,0,0,0,0.05,2,Walk,Car|Walk,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,30,25,0,25,27,25 - 27 minutes,1351,7,1,1,37
Taxi,Bus,None,10,0,30,10,0,5,10,0,0.05,2,Bus,Taxi|Bus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,10,40,15,55,58,55 - 58 minutes,11899,7,1,2,37
"Car:
Express",Walk,None,20,10,10,10,0,0,0,0,0.2,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,10,20,0,20,24,20 - 24 minutes,39451,7,1,3,37
"Car:
Express",Walk,None,35,10,15,15,0,0,0,0,0.1,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,25,30,0,30,33,30 - 33 minutes,21135,7,2,1,38
Car,None,None,20,5,30,0,0,0,0,0,0.2,1,Car,Car,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,15,30,0,30,36,30 - 36 minutes,40199,7,2,2,38
Bus,Walk,Taxi,20,0,30,10,10,10,0,5,0.2,3,Taxi,Bus|Walk|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,20,50,15,65,78,65 - 78 minutes,54127,7,2,3,38
Uber/Lyft,Bus,Walk,30,0,25,20,10,5,2,0,0.2,3,Walk,Uber/Lyft|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,30,55,7,62,75,62 - 75 minutes,43419,7,3,1,39
"Car:
Express",Walk,None,40,10,10,10,0,0,0,0,0.2,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,30,20,0,20,24,20 - 24 minutes,39475,7,3,2,39
Taxi,Bus,None,15,0,30,15,0,5,10,0,0.2,2,Bus,Taxi|Bus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,15,45,15,60,72,60 - 72 minutes,51397,7,3,3,39
Car,None,None,25,5,30,0,0,0,0,0,0.05,1,Car,Car,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,20,30,0,30,32,30 - 32 minutes,923,7,4,1,40
Bus,Bus,None,2,0,25,20,0,10,5,0,0.1,2,Bus,Bus|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,45,15,60,66,60 - 66 minutes,29104,7,4,2,40
"Car:
Express",Walk,None,20,15,40,15,0,0,0,0,0.2,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,5,55,0,55,66,55 - 66 minutes,41325,7,4,3,40
"Car:
Express",None,None,17,15,30,0,0,0,0,0,0.05,1,"Car:
Express","Car:
Express",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,30,0,30,32,30 - 32 minutes,1018,7,5,1,41
"Car:
Express",Walk,None,40,10,20,10,0,0,0,0,0.1,2,Walk,"Car:
Express|Walk",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,30,30,0,30,33,30 - 33 minutes,20255,7,5,2,41
Car,None,None,20,10,30,0,0,0,0,0,0.05,1,Car,Car,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,10,30,0,30,32,30 - 32 minutes,987,7,5,3,41
