leg1Mode,leg2Mode,leg3Mode,price,leg1Time,leg2Time,leg3Time,transfer1Time,transfer2Time,transfer3Time,tripTimeUnc,numLegs,lastLegMode,trip,carInTrip,expressInTrip,walkInTrip,busInTrip,taxiInTrip,uberInTrip,totalLegTime,totalWaitTime,totalTripTime,tripTimeMax,tripTimeRange,rowID,respID,qID,altID,obsID
Uber/Lyft,Walk,None,20,30,15,0,5,0,0,0.2,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,45,5,50,60,50 - 60 minutes,35679,2,2,1,8
Taxi,None,None,30,15,0,0,2,0,0,0.1,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,15,2,17,19,17 - 19 minutes,16805,2,2,2,8
Walk,Bus,Walk,2,15,20,15,0,10,0,0.2,3,Walk,Walk|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,50,10,60,72,60 - 72 minutes,41756,2,2,3,8
Taxi,None,None,30,10,0,0,10,0,0,0.2,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,10,20,24,20 - 24 minutes,36512,2,3,1,9
Taxi,Walk,None,25,20,15,0,5,0,0,0.05,2,Walk,Taxi|Walk,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,35,5,40,42,40 - 42 minutes,2314,2,3,2,9
Walk,Bus,None,2,10,15,0,0,5,0,0.1,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,25,5,30,33,30 - 33 minutes,21511,2,3,3,9
Uber/Lyft,Walk,None,10,25,10,0,10,0,0,0.1,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,35,10,45,50,45 - 50 minutes,20076,2,4,1,10
Bus,None,None,5,15,0,0,5,0,0,0.1,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,15,5,20,22,20 - 22 minutes,18451,2,4,2,10
Bus,Uber/Lyft,None,10,15,15,0,2,5,0,0.2,2,Uber/Lyft,Bus|Uber/Lyft,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,30,7,37,45,37 - 45 minutes,38203,2,4,3,10
Taxi,Bus,None,25,15,15,0,10,5,0,0.05,2,Bus,Taxi|Bus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,30,15,45,48,45 - 48 minutes,6946,2,5,1,11
Uber/Lyft,None,None,30,15,0,0,2,0,0,0.05,1,Uber/Lyft,Uber/Lyft,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,15,2,17,18,17 - 18 minutes,181,2,5,2,11
Walk,Bus,Taxi,10,10,20,20,0,10,5,0.2,3,Taxi,Walk|Bus|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,50,15,65,78,65 - 78 minutes,46477,2,5,3,11
Taxi,None,None,25,20,0,0,5,0,0,0.1,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,5,25,28,25 - 28 minutes,18578,2,6,1,12
Uber/Lyft,Bus,Walk,25,20,15,10,2,2,0,0.2,3,Walk,Uber/Lyft|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,45,4,49,59,49 - 59 minutes,33896,2,6,2,12
Bus,Bus,Bus,10,25,15,15,5,5,10,0.1,3,Bus,Bus|Bus|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,55,20,75,83,75 - 83 minutes,32409,2,6,3,12
Bus,Bus,Walk,5,10,15,10,10,5,0,0.1,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,35,15,50,56,50 - 56 minutes,23505,3,1,1,13
Walk,Bus,None,2,15,20,0,0,2,0,0.2,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,35,2,37,45,37 - 45 minutes,34097,3,1,2,13
Bus,Walk,Bus,5,30,10,15,2,0,10,0.2,3,Bus,Bus|Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,55,12,67,81,67 - 81 minutes,47129,3,1,3,13
Taxi,None,None,20,15,0,0,2,0,0,0.2,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,15,2,17,21,17 - 21 minutes,33400,3,2,1,14
Bus,None,None,10,20,0,0,10,0,0,0.2,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,20,10,30,36,30 - 36 minutes,36615,3,2,2,14
Bus,Walk,Bus,2,10,10,15,2,0,10,0.1,3,Bus,Bus|Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,35,12,47,52,47 - 52 minutes,30415,3,2,3,14
Bus,None,None,10,10,0,0,2,0,0,0.1,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10,2,12,14,12 - 14 minutes,16644,3,3,1,15
Bus,Uber/Lyft,None,15,30,10,0,10,10,0,0.1,2,Uber/Lyft,Bus|Uber/Lyft,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,40,20,60,66,60 - 66 minutes,26374,3,3,2,15
Taxi,None,None,20,30,0,0,10,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,30,10,40,42,40 - 42 minutes,3554,3,3,3,15
Taxi,None,None,30,20,0,0,5,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,5,25,27,25 - 27 minutes,1967,3,4,1,16
Bus,Bus,Bus,2,20,10,10,10,2,5,0.2,3,Bus,Bus|Bus|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,40,17,57,69,57 - 69 minutes,45012,3,4,2,16
Taxi,Walk,None,10,10,15,0,5,0,0,0.1,2,Walk,Taxi|Walk,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,25,5,30,33,30 - 33 minutes,18773,3,4,3,16
Uber/Lyft,Walk,None,30,30,15,0,2,0,0,0.1,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,45,2,47,52,47 - 52 minutes,17409,3,5,1,17
Bus,Bus,None,5,10,10,0,5,2,0,0.05,2,Bus,Bus|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,20,7,27,29,27 - 29 minutes,1751,3,5,2,17
Walk,Bus,None,10,15,10,0,0,2,0,0.05,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,25,2,27,29,27 - 29 minutes,124,3,5,3,17
Bus,None,None,10,10,0,0,5,0,0,0.1,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10,5,15,17,15 - 17 minutes,18381,3,6,1,18
Taxi,Walk,None,25,10,15,0,10,0,0,0.1,2,Walk,Taxi|Walk,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,25,10,35,39,35 - 39 minutes,20262,3,6,2,18
Bus,None,None,2,10,0,0,2,0,0,0.1,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10,2,12,14,12 - 14 minutes,16624,3,6,3,18
Taxi,None,None,10,20,0,0,10,0,0,0.2,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,10,30,36,30 - 36 minutes,36614,4,1,1,19
Uber/Lyft,Walk,None,25,10,15,0,10,0,0,0.05,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,10,35,37,35 - 37 minutes,3638,4,1,2,19
Bus,Bus,Walk,2,20,20,15,5,2,0,0.1,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,55,7,62,69,62 - 69 minutes,19600,4,1,3,19
Walk,Bus,Taxi,25,15,20,10,0,2,5,0.1,3,Taxi,Walk|Bus|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,45,7,52,58,52 - 58 minutes,27314,4,2,1,20
Taxi,None,None,15,10,0,0,2,0,0,0.1,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,2,12,14,12 - 14 minutes,16666,4,2,2,20
Bus,None,None,10,10,0,0,2,0,0,0.05,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,10,2,12,13,12 - 13 minutes,21,4,2,3,20
Bus,Bus,Walk,10,30,20,10,5,10,0,0.05,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,60,15,75,79,75 - 79 minutes,9270,4,3,1,21
Uber/Lyft,Walk,None,20,25,15,0,5,0,0,0.05,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,40,5,45,48,45 - 48 minutes,2368,4,3,2,21
Taxi,None,None,10,10,0,0,5,0,0,0.2,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,5,15,18,15 - 18 minutes,35003,4,3,3,21
Bus,Bus,Walk,10,20,10,10,10,5,0,0.2,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,40,15,55,66,55 - 66 minutes,40020,4,4,1,22
Uber/Lyft,Walk,None,20,15,15,0,2,0,0,0.2,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,30,2,32,39,32 - 39 minutes,33811,4,4,2,22
Walk,Bus,Taxi,25,10,10,15,0,5,2,0.2,3,Taxi,Walk|Bus|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,35,7,42,51,42 - 51 minutes,38624,4,4,3,22
Taxi,None,None,10,10,0,0,2,0,0,0.2,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,2,12,15,12 - 15 minutes,33266,4,5,1,23
Uber/Lyft,Walk,None,20,30,15,0,5,0,0,0.05,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,45,5,50,53,50 - 53 minutes,2433,4,5,2,23
Bus,Taxi,None,30,20,20,0,10,10,0,0.05,2,Taxi,Bus|Taxi,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,40,20,60,63,60 - 63 minutes,10082,4,5,3,23
Bus,None,None,10,20,0,0,2,0,0,0.1,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,20,2,22,25,22 - 25 minutes,16832,4,6,1,24
Walk,Bus,Walk,10,10,15,10,0,2,0,0.2,3,Walk,Walk|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,35,2,37,45,37 - 45 minutes,33710,4,6,2,24
Bus,Walk,Uber/Lyft,15,20,10,20,5,0,2,0.1,3,Uber/Lyft,Bus|Walk|Uber/Lyft,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,50,7,57,63,57 - 63 minutes,19687,4,6,3,24
Bus,Taxi,None,30,25,15,0,2,10,0,0.05,2,Taxi,Bus|Taxi,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,40,12,52,55,52 - 55 minutes,7974,5,1,1,25
Bus,Bus,Bus,2,25,20,10,5,2,2,0.05,3,Bus,Bus|Bus|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,55,9,64,68,64 - 68 minutes,2577,5,1,2,25
Taxi,None,None,20,10,0,0,10,0,0,0.1,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,10,20,22,20 - 22 minutes,19865,5,1,3,25
Taxi,None,None,30,10,0,0,5,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,5,15,16,15 - 16 minutes,1811,5,2,1,26
Uber/Lyft,Bus,Walk,30,10,20,10,5,5,0,0.1,3,Walk,Uber/Lyft|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,40,10,50,56,50 - 56 minutes,22862,5,2,2,26
Uber/Lyft,Walk,None,25,10,15,0,10,0,0,0.2,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,10,35,42,35 - 42 minutes,36884,5,2,3,26
Bus,None,None,10,25,0,0,5,0,0,0.1,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,25,5,30,33,30 - 33 minutes,18615,5,3,1,27
Taxi,None,None,25,30,0,0,10,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,30,10,40,42,40 - 42 minutes,3566,5,3,2,27
Uber/Lyft,Walk,None,30,10,15,0,2,0,0,0.2,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,2,27,33,27 - 33 minutes,33751,5,3,3,27
Uber/Lyft,Walk,None,10,10,15,0,2,0,0,0.1,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,2,27,30,27 - 30 minutes,17074,5,4,1,28
Walk,Bus,Bus,5,10,10,20,0,10,5,0.1,3,Bus,Walk|Bus|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,40,15,55,61,55 - 61 minutes,29770,5,4,2,28
Bus,Walk,None,5,20,15,0,5,0,0,0.05,2,Walk,Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,35,5,40,42,40 - 42 minutes,2270,5,4,3,28
Taxi,None,None,25,10,0,0,2,0,0,0.1,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,2,12,14,12 - 14 minutes,16694,5,5,1,29
Uber/Lyft,Walk,None,15,30,10,0,2,0,0,0.2,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,40,2,42,51,42 - 51 minutes,33633,5,5,2,29
Taxi,None,None,30,30,0,0,2,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,30,2,32,34,32 - 34 minutes,418,5,5,3,29
Bus,Uber/Lyft,None,15,15,20,0,5,5,0,0.05,2,Uber/Lyft,Bus|Uber/Lyft,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,35,10,45,48,45 - 48 minutes,6256,5,6,1,30
Bus,None,None,5,20,0,0,10,0,0,0.05,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,20,10,30,32,30 - 32 minutes,3361,5,6,2,30
Bus,Walk,Bus,10,25,10,20,5,0,2,0.05,3,Bus,Bus|Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,55,7,62,66,62 - 66 minutes,3079,5,6,3,30
Walk,Bus,None,10,15,15,0,0,2,0,0.05,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,30,2,32,34,32 - 34 minutes,534,6,1,1,31
Uber/Lyft,Walk,None,25,25,10,0,2,0,0,0.2,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,35,2,37,45,37 - 45 minutes,33579,6,1,2,31
Walk,Bus,Walk,5,10,15,15,0,5,0,0.1,3,Walk,Walk|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,40,5,45,50,45 - 50 minutes,22095,6,1,3,31
Uber/Lyft,Bus,None,10,30,15,0,2,5,0,0.2,2,Bus,Uber/Lyft|Bus,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,45,7,52,63,52 - 63 minutes,38335,6,2,1,32
Walk,Bus,Walk,2,15,10,15,0,10,0,0.2,3,Walk,Walk|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,40,10,50,60,50 - 60 minutes,41532,6,2,2,32
Bus,None,None,5,30,0,0,2,0,0,0.2,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,30,2,32,39,32 - 39 minutes,33603,6,2,3,32
Bus,Walk,Taxi,20,30,10,15,2,0,5,0.1,3,Taxi,Bus|Walk|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,55,7,62,69,62 - 69 minutes,27427,6,3,1,33
Uber/Lyft,Walk,None,25,15,10,0,2,0,0,0.05,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,2,27,29,27 - 29 minutes,173,6,3,2,33
Walk,Bus,Bus,5,10,15,20,0,5,10,0.05,3,Bus,Walk|Bus|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,45,15,60,63,60 - 63 minutes,15636,6,3,3,33
Taxi,Bus,Walk,15,10,10,15,10,5,0,0.2,3,Walk,Taxi|Bus|Walk,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,35,15,50,60,50 - 60 minutes,40522,6,4,1,34
Taxi,None,None,25,10,0,0,2,0,0,0.2,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,2,12,15,12 - 15 minutes,33317,6,4,2,34
Bus,Bus,Walk,2,15,20,15,5,10,0,0.1,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,50,15,65,72,65 - 72 minutes,26095,6,4,3,34
Taxi,Bus,None,25,15,20,0,5,10,0,0.05,2,Bus,Taxi|Bus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,35,15,50,53,50 - 53 minutes,9169,6,5,1,35
Walk,Bus,Walk,5,15,20,15,0,2,0,0.05,3,Walk,Walk|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,50,2,52,55,52 - 55 minutes,1418,6,5,2,35
Taxi,None,None,20,25,0,0,10,0,0,0.2,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,10,35,42,35 - 42 minutes,36722,6,5,3,35
Uber/Lyft,Walk,None,10,10,10,0,10,0,0,0.1,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,20,10,30,33,30 - 33 minutes,19842,6,6,1,36
Taxi,None,None,25,10,0,0,10,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,10,20,21,20 - 21 minutes,3254,6,6,2,36
Bus,None,None,2,30,0,0,10,0,0,0.2,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,30,10,40,48,40 - 48 minutes,36757,6,6,3,36
Bus,Walk,Taxi,10,15,15,20,2,0,10,0.05,3,Taxi,Bus|Walk|Taxi,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,50,12,62,66,62 - 66 minutes,14187,7,1,1,37
Uber/Lyft,Walk,None,15,10,15,0,5,0,0,0.1,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,5,30,33,30 - 33 minutes,18786,7,1,2,37
Taxi,Bus,None,30,25,20,0,2,5,0,0.05,2,Bus,Taxi|Bus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,45,7,52,55,52 - 55 minutes,5311,7,1,3,37
Taxi,None,None,20,15,0,0,5,0,0,0.1,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,15,5,20,22,20 - 22 minutes,18488,7,2,1,38
Taxi,Walk,None,25,25,15,0,5,0,0,0.05,2,Walk,Taxi|Walk,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,40,5,45,48,45 - 48 minutes,2379,7,2,2,38
Taxi,Walk,None,25,20,10,0,2,0,0,0.1,2,Walk,Taxi|Walk,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,30,2,32,36,32 - 36 minutes,16879,7,2,3,38
Bus,Walk,Bus,2,10,15,10,10,0,10,0.2,3,Bus,Bus|Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,35,20,55,66,55 - 66 minutes,48148,7,3,1,39
Bus,None,None,2,20,0,0,2,0,0,0.2,1,Bus,Bus,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,20,2,22,27,22 - 27 minutes,33441,7,3,2,39
Walk,Bus,None,5,10,10,0,0,5,0,0.1,2,Bus,Walk|Bus,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,20,5,25,28,25 - 28 minutes,21284,7,3,3,39
Bus,Bus,Walk,10,25,15,15,2,2,0,0.2,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,55,4,59,71,59 - 71 minutes,34579,7,4,1,40
Taxi,None,None,30,25,0,0,10,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,10,35,37,35 - 37 minutes,3500,7,4,2,40
Bus,Uber/Lyft,None,30,25,15,0,5,10,0,0.1,2,Uber/Lyft,Bus|Uber/Lyft,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,40,15,55,61,55 - 61 minutes,25678,7,4,3,40
Uber/Lyft,Walk,None,10,15,10,0,2,0,0,0.05,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,2,27,29,27 - 29 minutes,125,7,5,1,41
Uber/Lyft,Bus,Walk,20,15,10,10,5,10,0,0.05,3,Walk,Uber/Lyft|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,35,15,50,53,50 - 53 minutes,8774,7,5,2,41
Uber/Lyft,None,None,25,25,0,0,5,0,0,0.2,1,Uber/Lyft,Uber/Lyft,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,25,5,30,36,30 - 36 minutes,35278,7,5,3,41
Taxi,None,None,25,25,0,0,2,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,2,27,29,27 - 29 minutes,328,7,6,1,42
Uber/Lyft,Walk,None,15,10,15,0,10,0,0,0.05,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,25,10,35,37,35 - 37 minutes,3618,7,6,2,42
Bus,Bus,Walk,10,25,15,10,5,2,0,0.1,3,Walk,Bus|Bus|Walk,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,50,7,57,63,57 - 63 minutes,18976,7,6,3,42
Uber/Lyft,Walk,None,25,25,15,0,2,0,0,0.05,2,Walk,Uber/Lyft|Walk,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,40,2,42,45,42 - 45 minutes,711,8,1,1,43
Taxi,None,None,20,25,0,0,5,0,0,0.2,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,25,5,30,36,30 - 36 minutes,35267,8,1,2,43
Taxi,None,None,25,20,0,0,10,0,0,0.05,1,Taxi,Taxi,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,20,10,30,32,30 - 32 minutes,3410,8,1,3,43
Taxi,Bus,None,25,20,10,0,10,10,0,0.2,2,Bus,Taxi|Bus,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,30,20,50,60,50 - 60 minutes,42934,8,2,1,44
